Scorecard,First_Innings_Team,Second_Innings_Team,First_Innings_Score,Second_Innings_Score,Winner,Margin,Ground,Match_Date,Match_Year
ODI # 2451,Bermuda,Netherlands,177,"(37.5/50 ov, T:178) 180/2",Netherlands,8 wickets,Potchefstroom,2006-11-28,2006
ODI # 2452,South Africa,India,243/8,"(38.1/50 ov, T:244) 163",South Africa,80 runs,Gqeberha,2006-11-29,2006
ODI # 2453,Zimbabwe,Bangladesh,184/9,"(45.3/50 ov, T:185) 186/1",Bangladesh,9 wickets,Khulna,2006-11-30,2006
ODI # 2454,Bermuda,Canada,178/9,(39.4/50 ov) 179/7,Canada,3 wickets,Benoni,2006-11-30,2006
ODI # 2455,Canada,Netherlands,223/8,(41.4/42 ov) 205/9,Netherlands,1 wicket,Benoni,2006-12-01,2006
ODI # 2456,Netherlands,Bermuda,91,"(17/50 ov, T:92) 94/4",Bermuda,6 wickets,Benoni,2006-12-02,2006
ODI # 2457,Zimbabwe,Bangladesh,217/7,(42.4/50 ov) 218/4,Bangladesh,6 wickets,Bogra,2006-12-03,2006
ODI # 2458,India,South Africa,200/9,(31.2/50 ov) 201/1,South Africa,9 wickets,Centurion,2006-12-03,2006
ODI # 2459,Bangladesh,Zimbabwe,220,"(49/50 ov, T:221) 194",Bangladesh,26 runs,Bogra,2006-12-05,2006
ODI # 2460,West Indies,Pakistan,151,"(48.2/50 ov, T:152) 154/8",Pakistan,2 wickets,Faisalabad,2006-12-07,2006
ODI # 2461,Zimbabwe,Bangladesh,146,(32.2/50 ov) 147/2,Bangladesh,8 wickets,Mirpur,2006-12-08,2006
ODI # 2462,Zimbabwe,Bangladesh,193/8,"(49/50 ov, T:194) 197/7",Bangladesh,3 wickets,Mirpur,2006-12-09,2006
ODI # 2463,West Indies,Pakistan,207/7,"(33.4/35 ov, T:191) 192/3",Pakistan,7 wickets,Lahore,2006-12-10,2006
ODI # 2464,Pakistan,West Indies,209,"(34.5/50 ov, T:210) 212/3",West Indies,7 wickets,Multan,2006-12-13,2006
ODI # 2465,Scotland,Bangladesh,153,(29.1/50 ov) 154/4,Bangladesh,6 wickets,Chattogram,2006-12-15,2006
ODI # 2466,West Indies,Pakistan,238/7,(46.5/50 ov) 239/3,Pakistan,7 wickets,Karachi,2006-12-16,2006
ODI # 2467,Bangladesh,Scotland,278/6,"(41.3/50 ov, T:279) 132",Bangladesh,146 runs,Mirpur,2006-12-17,2006
ODI # 2468,New Zealand,Sri Lanka,285/8,"(40/50 ov, T:286) 289/3",Sri Lanka,7 wickets,Napier,2006-12-28,2006
ODI # 2469,Sri Lanka,New Zealand,224/7,"(50 ov, T:225) 228/9",New Zealand,1 wicket,Queenstown,2006-12-31,2006
ODI # 2470,Sri Lanka,New Zealand,112,(24.3/46 ov) 110/6,New Zealand,4 wickets,Christchurch,2007-01-02,2007
ODI # 2471,Sri Lanka,New Zealand,262/6,"(26.3/50 ov, T:263) 73",Sri Lanka,189 runs,Auckland,2007-01-06,2007
ODI # 2473,England,Australia,242/8,"(45.2/50 ov, T:243) 246/2",Australia,8 wickets,Melbourne,2007-01-12,2007
ODI # 2474,Australia,New Zealand,289/8,"(38.3/50 ov, T:290) 184",Australia,105 runs,Hobart,2007-01-14,2007
ODI # 2475,New Zealand,England,205/9,(49.5/50 ov) 206/7,England,3 wickets,Hobart,2007-01-16,2007
ODI # 2476,Kenya,Scotland,328/5,"(36.2/50 ov, T:329) 138",Kenya,190 runs,Mombasa,2007-01-17,2007
ODI # 2477,Canada,Scotland,292/5,(49.5/50 ov) 293/8,Scotland,2 wickets,Mombasa,2007-01-18,2007
ODI # 2478,England,Australia,155,(38.4/50 ov) 156/6,Australia,4 wickets,Brisbane,2007-01-19,2007
ODI # 2479,New Zealand,Australia,218,"(48.4/50 ov, T:219) 224/8",Australia,2 wickets,Sydney,2007-01-21,2007
ODI # 2480,India,West Indies,338/3,"(50 ov, T:339) 324/8",India,14 runs,Nagpur,2007-01-21,2007
ODI # 2481,Kenya,Scotland,259/9,"(50 ov, T:260) 253/8",Kenya,6 runs,Mombasa,2007-01-21,2007
ODI # 2482,New Zealand,England,210,"(37.5/50 ov, T:211) 120",New Zealand,90 runs,Adelaide,2007-01-23,2007
ODI # 2483,Canada,Scotland,208,(47.2/50 ov) 209/8,Scotland,2 wickets,Mombasa,2007-01-23,2007
ODI # 2484,Canada,Kenya,213/9,"(35.1/50 ov, T:214) 144",Canada,69 runs,Mombasa,2007-01-24,2007
ODI # 2485,India,West Indies,189,"(48.2/50 ov, T:190) 169",India,20 runs,Cuttack,2007-01-24,2007
ODI # 2486,England,Australia,110,(24.3/50 ov) 111/1,Australia,9 wickets,Adelaide,2007-01-26,2007
ODI # 2487,India,West Indies,268,"(43.4/50 ov, T:269) 270/7",West Indies,3 wickets,Chennai,2007-01-27,2007
ODI # 2488,Australia,New Zealand,343/5,"(50 ov, T:344) 335/5",Australia,8 runs,Perth,2007-01-28,2007
ODI # 2489,Bermuda,Kenya,133,"(18.1/50 ov, T:134) 137/0",Kenya,10 wickets,Nairobi (Jaff),2007-01-29,2007
ODI # 2490,New Zealand,England,318/7,"(50 ov, T:319) 260/8",New Zealand,58 runs,Perth,2007-01-30,2007
ODI # 2491,Canada,Netherlands,200,(35/50 ov) 201/2,Netherlands,8 wickets,Nairobi (Ruaraka),2007-01-30,2007
ODI # 2492,Ireland,Scotland,280/7,"(50 ov, T:281) 284/7",Scotland,3 wickets,Nairobi (Gym),2007-01-30,2007
ODI # 2493,India,West Indies,341/3,"(41.4/50 ov, T:342) 181",India,160 runs,Vadodara,2007-01-31,2007
ODI # 2494,Bermuda,Ireland,275/8,(48.4/50 ov) 276/6,Ireland,4 wickets,Nairobi (Jaff),2007-01-31,2007
ODI # 2495,Scotland,Canada,276/4,"(50 ov, T:277) 269/9",Scotland,7 runs,Nairobi (Ruaraka),2007-01-31,2007
ODI # 2496,Netherlands,Kenya,131,"(32.1/50 ov, T:132) 133/3",Kenya,7 wickets,Nairobi (Gym),2007-01-31,2007
ODI # 2497,England,Australia,292/7,"(38.5/50 ov, T:293) 200",England,92 runs,Sydney,2007-02-02,2007
ODI # 2498,Canada,Bermuda,162/8,"(15.5/21 ov, T:163) 106",Canada,56 runs,Nairobi (Gym),2007-02-02,2007
ODI # 2499,Ireland,Kenya,284/4,"(49/50 ov, T:285) 286/9",Kenya,1 wicket,Nairobi (Ruaraka),2007-02-02,2007
ODI # 2500,Scotland,Netherlands,207/8,"(36.5/37 ov, T:208) 205",Scotland,2 runs,Nairobi (Jaff),2007-02-02,2007
ODI # 2501,New Zealand,Australia,290/7,(48.2/50 ov) 291/5,Australia,5 wickets,Melbourne,2007-02-04,2007
ODI # 2502,Bermuda,Netherlands,194,"(43.1/50 ov, T:195) 198/2",Netherlands,8 wickets,Nairobi (Ruaraka),2007-02-04,2007
ODI # 2503,Ireland,Canada,308/7,"(49.4/50 ov, T:309) 312/4",Canada,6 wickets,Nairobi (Jaff),2007-02-04,2007
ODI # 2504,Scotland,Kenya,254/8,"(46/50 ov, T:255) 177",Scotland,77 runs,Nairobi (Gym),2007-02-04,2007
ODI # 2505,Bangladesh,Zimbabwe,260/9,"(47.5/50 ov, T:261) 215",Bangladesh,45 runs,Harare,2007-02-04,2007
ODI # 2506,South Africa,Pakistan,392/6,"(46.4/50 ov, T:393) 228",South Africa,164 runs,Centurion,2007-02-04,2007
ODI # 2507,Scotland,Bermuda,268/9,(49/50 ov) 269/5,Bermuda,5 wickets,Nairobi (Ruaraka),2007-02-05,2007
ODI # 2508,Kenya,Canada,250/9,"(14.5/50 ov, T:251) 92",Kenya,158 runs,Nairobi (Jaff),2007-02-05,2007
ODI # 2509,Netherlands,Ireland,260/7,"(46/46 ov, T:261) 254/8",Netherlands,6 runs,Nairobi (Gym),2007-02-05,2007
ODI # 2510,England,New Zealand,270/7,"(50 ov, T:271) 256/8",England,14 runs,Brisbane,2007-02-06,2007
ODI # 2511,Bangladesh,Zimbabwe,153,"(35.2/50 ov, T:154) 156/2",Zimbabwe,8 wickets,Harare,2007-02-06,2007
ODI # 2512,Scotland,Kenya,155,"(37.5/50 ov, T:156) 158/2",Kenya,8 wickets,Nairobi (Gym),2007-02-07,2007
ODI # 2513,Pakistan,South Africa,351/4,"(40/50 ov, T:352) 210",Pakistan,141 runs,Durban,2007-02-07,2007
ODI # 2515,Australia,England,252,(49.3/50 ov) 253/6,England,4 wickets,Melbourne,2007-02-09,2007
ODI # 2516,Bangladesh,Zimbabwe,228/9,"(49.4/50 ov, T:229) 214",Bangladesh,14 runs,Harare,2007-02-09,2007
ODI # 2518,Zimbabwe,Bangladesh,244/8,"(47.2/50 ov, T:245) 246/9",Bangladesh,1 wicket,Harare,2007-02-10,2007
ODI # 2519,England,Australia,246/8,"(27/27 ov, T:187) 152/8",England,34 runs,Sydney,2007-02-11,2007
ODI # 2520,Sri Lanka,India,257/8,"(50 ov, T:258) 252/9",Sri Lanka,5 runs,Rajkot,2007-02-11,2007
ODI # 2521,Pakistan,South Africa,107,"(14/50 ov, T:108) 113/0",South Africa,10 wickets,Cape Town,2007-02-11,2007
ODI # 2522,Sri Lanka,India,230/8,"(46.3/50 ov, T:231) 233/5",India,5 wickets,Margao,2007-02-14,2007
ODI # 2523,Pakistan,South Africa,153,"(28.2/50 ov, T:154) 156/1",South Africa,9 wickets,Johannesburg,2007-02-14,2007
ODI # 2524,Australia,New Zealand,148,(27/50 ov) 149/0,New Zealand,10 wickets,Wellington,2007-02-16,2007
ODI # 2525,Sri Lanka,India,259/7,"(41/47 ov, T:260) 263/3",India,7 wickets,Visakhapatnam,2007-02-17,2007
ODI # 2526,Australia,New Zealand,336/4,"(48.4/50 ov, T:337) 340/5",New Zealand,5 wickets,Auckland,2007-02-18,2007
ODI # 2527,Australia,New Zealand,346/5,"(49.3/50 ov, T:347) 350/9",New Zealand,1 wicket,Hamilton,2007-02-20,2007
ODI # 2528,Bermuda,Bangladesh,205/8,(37.3/50 ov) 206/2,Bangladesh,8 wickets,St John's,2007-02-25,2007
ODI # 2529,Bermuda,Canada,206/8,(44/50 ov) 207/7,Canada,3 wickets,St John's,2007-02-26,2007
ODI # 2530,Bangladesh,Canada,278/5,"(50 ov, T:279) 265/7",Bangladesh,13 runs,St John's,2007-02-28,2007
ODI # 2531,West Indies,Pakistan,241/9,"(47.2/50 ov, T:242) 187",West Indies,54 runs,Kingston,2007-03-13,2007
ODI # 2532,Australia,Scotland,334/6,"(40.1/50 ov, T:335) 131",Australia,203 runs,Basseterre,2007-03-14,2007
ODI # 2533,Canada,Kenya,199,"(43.2/50 ov, T:200) 203/3",Kenya,7 wickets,Gros Islet,2007-03-14,2007
ODI # 2534,Sri Lanka,Bermuda,321/6,"(24.4/50 ov, T:322) 78",Sri Lanka,243 runs,Port of Spain,2007-03-15,2007
ODI # 2536,England,New Zealand,209/7,(41/50 ov) 210/4,New Zealand,6 wickets,Gros Islet,2007-03-16,2007
ODI # 2537,South Africa,Netherlands,353/3,"(40/40 ov, T:354) 132/9",South Africa,221 runs,Basseterre,2007-03-16,2007
ODI # 2538,India,Bangladesh,191,(48.3/50 ov) 192/5,Bangladesh,5 wickets,Port of Spain,2007-03-17,2007
ODI # 2539,Pakistan,Ireland,132,"(41.4/47 ov, T:128) 133/7",Ireland,3 wickets,Kingston,2007-03-17,2007
ODI # 2540,Australia,Netherlands,358/5,"(26.5/50 ov, T:359) 129",Australia,229 runs,Basseterre,2007-03-18,2007
ODI # 2541,England,Canada,279/6,"(50 ov, T:280) 228/7",England,51 runs,Gros Islet,2007-03-18,2007
ODI # 2542,India,Bermuda,413/5,"(43.1/50 ov, T:414) 156",India,257 runs,Port of Spain,2007-03-19,2007
ODI # 2543,Zimbabwe,West Indies,202/5,"(47.5/50 ov, T:203) 204/4",West Indies,6 wickets,Kingston,2007-03-19,2007
ODI # 2544,New Zealand,Kenya,331/7,"(49.2/50 ov, T:332) 183",New Zealand,148 runs,Gros Islet,2007-03-20,2007
ODI # 2545,Scotland,South Africa,186/8,"(23.2/50 ov, T:187) 188/3",South Africa,7 wickets,Basseterre,2007-03-20,2007
ODI # 2546,Sri Lanka,Bangladesh,318/4,"(37/46 ov, T:311) 112",Sri Lanka,198 runs,Port of Spain,2007-03-21,2007
ODI # 2547,Pakistan,Zimbabwe,349,"(19.1/20 ov, T:193) 99",Pakistan,93 runs,Kingston,2007-03-21,2007
ODI # 2548,New Zealand,Canada,363/5,"(49.2/50 ov, T:364) 249",New Zealand,114 runs,Gros Islet,2007-03-22,2007
ODI # 2549,Scotland,Netherlands,136,"(23.5/50 ov, T:137) 140/2",Netherlands,8 wickets,Basseterre,2007-03-22,2007
ODI # 2550,Sri Lanka,India,254/6,"(43.3/50 ov, T:255) 185",Sri Lanka,69 runs,Port of Spain,2007-03-23,2007
ODI # 2551,Ireland,West Indies,183/8,(38.1/48 ov) 190/2,West Indies,8 wickets,Kingston,2007-03-23,2007
ODI # 2552,Australia,South Africa,377/6,"(48/50 ov, T:378) 294",Australia,83 runs,Basseterre,2007-03-24,2007
ODI # 2553,Kenya,England,177,(33/43 ov) 178/3,England,7 wickets,Gros Islet,2007-03-24,2007
ODI # 2554,Bermuda,Bangladesh,94/9,(17.3/21 ov) 96/3,Bangladesh,7 wickets,Port of Spain,2007-03-25,2007
ODI # 2555,Australia,West Indies,322/6,"(45.3/50 ov, T:323) 219",Australia,103 runs,North Sound,2007-03-27,2007
ODI # 2556,Sri Lanka,South Africa,209,"(48.2/50 ov, T:210) 212/9",South Africa,1 wicket,Providence,2007-03-28,2007
ODI # 2557,West Indies,New Zealand,177,"(39.2/50 ov, T:178) 179/3",New Zealand,7 wickets,North Sound,2007-03-29,2007
ODI # 2558,England,Ireland,266/7,"(48.1/50 ov, T:267) 218",England,48 runs,Providence,2007-03-30,2007
ODI # 2559,Bangladesh,Australia,104/6,"(13.5/22 ov, T:105) 106/0",Australia,10 wickets,North Sound,2007-03-31,2007
ODI # 2560,Sri Lanka,West Indies,303/5,"(44.3/50 ov, T:304) 190",Sri Lanka,113 runs,Providence,2007-04-01,2007
ODI # 2561,Bangladesh,New Zealand,174,"(29.2/50 ov, T:175) 178/1",New Zealand,9 wickets,North Sound,2007-04-02,2007
ODI # 2562,Ireland,South Africa,152/8,"(31.3/35 ov, T:160) 165/3",South Africa,7 wickets,Providence,2007-04-03,2007
ODI # 2563,Sri Lanka,England,235,"(50 ov, T:236) 233/8",Sri Lanka,2 runs,North Sound,2007-04-04,2007
ODI # 2564,Bangladesh,South Africa,251/8,"(48.4/50 ov, T:252) 184",Bangladesh,67 runs,Providence,2007-04-07,2007
ODI # 2565,England,Australia,247,(47.2/50 ov) 248/3,Australia,7 wickets,North Sound,2007-04-08,2007
ODI # 2566,New Zealand,Ireland,263/8,"(37.4/50 ov, T:264) 134",New Zealand,129 runs,Providence,2007-04-09,2007
ODI # 2567,South Africa,West Indies,356/4,"(50 ov, T:357) 289/9",South Africa,67 runs,St George's,2007-04-10,2007
ODI # 2568,Bangladesh,England,143,"(44.5/50 ov, T:144) 147/6",England,4 wickets,Bridgetown,2007-04-11,2007
ODI # 2569,New Zealand,Sri Lanka,219/7,"(45.1/50 ov, T:220) 222/4",Sri Lanka,6 wickets,St George's,2007-04-12,2007
ODI # 2570,Ireland,Australia,91,(12.2/50 ov) 92/1,Australia,9 wickets,Bridgetown,2007-04-13,2007
ODI # 2571,South Africa,New Zealand,193/7,"(48.2/50 ov, T:194) 196/5",New Zealand,5 wickets,St George's,2007-04-14,2007
ODI # 2572,Ireland,Bangladesh,243/7,"(41.2/50 ov, T:244) 169",Ireland,74 runs,Bridgetown,2007-04-15,2007
ODI # 2573,Sri Lanka,Australia,226,"(42.4/50 ov, T:227) 232/3",Australia,7 wickets,St George's,2007-04-16,2007
ODI # 2574,England,South Africa,154,"(19.2/50 ov, T:155) 157/1",South Africa,9 wickets,Bridgetown,2007-04-17,2007
ODI # 2575,Ireland,Sri Lanka,77,"(10/50 ov, T:78) 81/2",Sri Lanka,8 wickets,St George's,2007-04-18,2007
ODI # 2576,West Indies,Bangladesh,230/5,"(43.5/50 ov, T:231) 131",West Indies,99 runs,Bridgetown,2007-04-19,2007
ODI # 2577,Australia,New Zealand,348/6,"(25.5/50 ov, T:349) 133",Australia,215 runs,St George's,2007-04-20,2007
ODI # 2578,West Indies,England,300,(49.5/50 ov) 301/9,England,1 wicket,Bridgetown,2007-04-21,2007
ODI # 2579,Sri Lanka,New Zealand,289/5,"(41.4/50 ov, T:290) 208",Sri Lanka,81 runs,Kingston,2007-04-24,2007
ODI # 2580,South Africa,Australia,149,"(31.3/50 ov, T:150) 153/3",Australia,7 wickets,Gros Islet,2007-04-25,2007
ODI # 2581,Australia,Sri Lanka,281/4,"(36/36 ov, T:269) 215/8",Australia,53 runs,Bridgetown,2007-04-28,2007
ODI # 2582,Bangladesh,India,250/7,(46/47 ov) 251/5,India,5 wickets,Mirpur,2007-05-10,2007
ODI # 2583,India,Bangladesh,284/8,"(49/49 ov, T:285) 238/9",India,46 runs,Mirpur,2007-05-12,2007
ODI # 2584,Sri Lanka,Pakistan,235/9,"(42/50 ov, T:236) 239/5",Pakistan,5 wickets,Abu Dhabi,2007-05-18,2007
ODI # 2585,Pakistan,Sri Lanka,313/9,"(39.5/50 ov, T:314) 215",Pakistan,98 runs,Abu Dhabi,2007-05-20,2007
ODI # 2586,Sri Lanka,Pakistan,296/9,"(42.5/50 ov, T:297) 181",Sri Lanka,115 runs,Abu Dhabi,2007-05-22,2007
ODI # 2587,Asia XI,Africa XI,317/9,"(47.5/50 ov, T:318) 283",Asia XI,34 runs,Bengaluru,2007-06-06,2007
ODI # 2588,Asia XI,Africa XI,337/7,"(49.5/50 ov, T:338) 306",Asia XI,31 runs,Chennai,2007-06-09,2007
ODI # 2589,Asia XI,Africa XI,331/8,"(50 ov, T:332) 318/7",Asia XI,13 runs,Chennai,2007-06-10,2007
ODI # 2590,Ireland,India,193,(34.5/39 ov) 171/1,India,9 wickets,Belfast,2007-06-23,2007
ODI # 2591,South Africa,Ireland,173/4,"(30.5/31 ov, T:174) 131",South Africa,42 runs,Belfast,2007-06-24,2007
ODI # 2592,India,South Africa,242/8,"(49.3/50 ov, T:243) 245/6",South Africa,4 wickets,Belfast,2007-06-26,2007
ODI # 2593,South Africa,India,226/6,(49.1/50 ov) 227/4,India,6 wickets,Belfast,2007-06-29,2007
ODI # 2594,England,West Indies,225,"(39.5/50 ov, T:226) 146",England,79 runs,Lord's,2007-07-01,2007
ODI # 2595,South Africa,India,148/7,"(30.2/31 ov, T:149) 152/4",India,6 wickets,Belfast,2007-07-01,2007
ODI # 2596,Netherlands,Canada,289/7,"(43/50 ov, T:290) 172",Netherlands,117 runs,Toronto,2007-07-03,2007
ODI # 2597,West Indies,England,278/5,"(46/50 ov, T:279) 217",West Indies,61 runs,Birmingham,2007-07-04,2007
ODI # 2598,West Indies,England,289/5,"(44.2/50 ov, T:290) 196",West Indies,93 runs,Nottingham,2007-07-07,2007
ODI # 2599,Netherlands,West Indies,80,"(14.3/50 ov, T:81) 82/0",West Indies,10 wickets,Dublin,2007-07-10,2007
ODI # 2600,Ireland,Netherlands,210/8,"(50 ov, T:211) 209/6",Ireland,1 run,Belfast,2007-07-11,2007
ODI # 2601,Scotland,West Indies,152/7,(29.5/30 ov) 165/6,West Indies,4 wickets,Dublin,2007-07-12,2007
ODI # 2604,Ireland,Scotland,222/7,"(49.3/50 ov, T:223) 199",Ireland,23 runs,Belfast,2007-07-15,2007
ODI # 2605,Sri Lanka,Bangladesh,234/6,"(40.3/50 ov, T:235) 164",Sri Lanka,70 runs,Colombo (PSS),2007-07-20,2007
ODI # 2606,Bangladesh,Sri Lanka,137,"(31.1/50 ov, T:138) 141/5",Sri Lanka,5 wickets,Colombo (RPS),2007-07-23,2007
ODI # 2607,Sri Lanka,Bangladesh,196,"(37.1/40 ov, T:197) 157",Sri Lanka,39 runs,Colombo (RPS),2007-07-25,2007
ODI # 2608,Scotland,India,203/9,"(39.5/46 ov, T:209) 212/3",India,7 wickets,Glasgow,2007-08-16,2007
ODI # 2609,Netherlands,Bermuda,315/8,"(38/50 ov, T:316) 143",Netherlands,172 runs,Rotterdam,2007-08-18,2007
ODI # 2610,Bermuda,Netherlands,115,(19.3/50 ov) 116/2,Netherlands,8 wickets,Rotterdam,2007-08-20,2007
ODI # 2611,England,India,288/2,"(50 ov, T:289) 184",England,104 runs,Southampton,2007-08-21,2007
ODI # 2612,Zimbabwe,South Africa,206,"(46.5/50 ov, T:207) 210/5",South Africa,5 wickets,Bulawayo,2007-08-22,2007
ODI # 2613,India,England,329/7,"(50 ov, T:330) 320/8",India,9 runs,Bristol,2007-08-24,2007
ODI # 2614,Zimbabwe,South Africa,247/7,"(39.1/50 ov, T:248) 251/2",South Africa,8 wickets,Harare,2007-08-25,2007
ODI # 2615,South Africa,Zimbabwe,323/9,"(50 ov, T:324) 295/7",South Africa,28 runs,Harare,2007-08-26,2007
ODI # 2616,England,India,281/8,"(48.1/50 ov, T:282) 239",England,42 runs,Birmingham,2007-08-27,2007
ODI # 2617,India,England,212,(48/50 ov) 213/7,England,3 wickets,Manchester,2007-08-30,2007
ODI # 2618,India,England,324/6,"(39/39 ov, T:281) 242/8",India,38 runs,Leeds,2007-09-02,2007
ODI # 2619,England,India,316/6,(49.4/50 ov) 317/8,India,2 wickets,The Oval,2007-09-05,2007
ODI # 2620,India,England,187,(36.2/50 ov) 188/3,England,7 wickets,Lord's,2007-09-08,2007
ODI # 2622,Sri Lanka,England,269/7,"(34.5/50 ov, T:270) 150",Sri Lanka,119 runs,Dambulla,2007-10-01,2007
ODI # 2623,Australia,India,306/6,"(47.3/50 ov, T:307) 222",Australia,84 runs,Kochi,2007-10-02,2007
ODI # 2624,England,Sri Lanka,234/8,"(44.3/50 ov, T:235) 169",England,65 runs,Dambulla,2007-10-04,2007
ODI # 2625,Australia,India,290/7,"(47.4/50 ov, T:291) 243",Australia,47 runs,Hyderabad (Deccan),2007-10-05,2007
ODI # 2626,Sri Lanka,England,164,(46.5/48 ov) 164/8,England,2 wickets,Dambulla,2007-10-07,2007
ODI # 2627,India,Australia,291/4,"(50 ov, T:292) 283/7",India,8 runs,Chandigarh,2007-10-08,2007
ODI # 2628,Sri Lanka,England,211/9,(46.5/50 ov) 212/5,England,5 wickets,Colombo (RPS),2007-10-10,2007
ODI # 2629,India,Australia,148,(25.5/50 ov) 149/1,Australia,9 wickets,Vadodara,2007-10-11,2007
ODI # 2630,Sri Lanka,England,211,"(29.1/50 ov, T:212) 104",Sri Lanka,107 runs,Colombo (RPS),2007-10-13,2007
ODI # 2631,Australia,India,317/8,"(50 ov, T:318) 299/7",Australia,18 runs,Nagpur,2007-10-14,2007
ODI # 2632,Australia,India,193,"(46/50 ov, T:194) 195/8",India,2 wickets,Wankhede,2007-10-17,2007
ODI # 2633,South Africa,Pakistan,294/5,"(46.3/50 ov, T:295) 249",South Africa,45 runs,Lahore,2007-10-18,2007
ODI # 2634,Canada,Kenya,230,"(48.4/50 ov, T:231) 233/6",Kenya,4 wickets,Nairobi (Gym),2007-10-18,2007
ODI # 2635,Pakistan,South Africa,265/9,"(49.3/50 ov, T:266) 240",Pakistan,25 runs,Lahore,2007-10-20,2007
ODI # 2636,Canada,Kenya,189,"(43.1/50 ov, T:190) 193/6",Kenya,4 wickets,Nairobi (Gym),2007-10-20,2007
ODI # 2637,South Africa,Pakistan,197,"(48.1/50 ov, T:198) 202/4",Pakistan,6 wickets,Faisalabad,2007-10-23,2007
ODI # 2638,Bermuda,Kenya,174,(28.2/50 ov) 175/2,Kenya,8 wickets,Nairobi (Gym),2007-10-25,2007
ODI # 2639,Pakistan,South Africa,230/9,"(37.4/50 ov, T:231) 233/3",South Africa,7 wickets,Multan,2007-10-26,2007
ODI # 2640,Bermuda,Kenya,183/9,"(44.1/50 ov, T:184) 187/7",Kenya,3 wickets,Nairobi (Gym),2007-10-27,2007
ODI # 2641,Bermuda,Kenya,167,"(36.2/50 ov, T:168) 169/9",Kenya,1 wicket,Nairobi (Gym),2007-10-28,2007
ODI # 2642,South Africa,Pakistan,233/9,"(46.3/50 ov, T:234) 219",South Africa,14 runs,Lahore,2007-10-29,2007
ODI # 2643,Pakistan,India,239/7,"(47/50 ov, T:240) 242/5",India,5 wickets,Guwahati,2007-11-05,2007
ODI # 2644,India,Pakistan,321/9,(49.5/50 ov) 322/6,Pakistan,4 wickets,Mohali,2007-11-08,2007
ODI # 2645,India,Pakistan,294/6,"(47.2/50 ov, T:295) 248",India,46 runs,Kanpur,2007-11-11,2007
ODI # 2646,Pakistan,India,255/6,"(46.3/50 ov, T:256) 260/4",India,6 wickets,Gwalior,2007-11-15,2007
ODI # 2647,Pakistan,India,306/6,"(49.5/50 ov, T:307) 275",Pakistan,31 runs,Jaipur,2007-11-18,2007
ODI # 2648,New Zealand,South Africa,248/6,(50 ov) 249/8,South Africa,2 wickets,Durban,2007-11-25,2007
ODI # 2649,Zimbabwe,West Indies,274/8,"(50 ov, T:275) 244/8",Zimbabwe,30 runs,Harare,2007-11-30,2007
ODI # 2650,South Africa,New Zealand,209/9,(38.4/50 ov) 210/3,New Zealand,7 wickets,Gqeberha,2007-11-30,2007
ODI # 2651,West Indies,Zimbabwe,286/9,"(44.3/50 ov, T:287) 176",West Indies,110 runs,Harare,2007-12-02,2007
ODI # 2652,New Zealand,South Africa,238/8,"(45.2/50 ov, T:239) 242/5",South Africa,5 wickets,Cape Town,2007-12-02,2007
ODI # 2653,Zimbabwe,West Indies,139,"(27.5/50 ov, T:140) 142/4",West Indies,6 wickets,Harare,2007-12-04,2007
ODI # 2654,Zimbabwe,West Indies,232/9,"(47/50 ov, T:233) 234/5",West Indies,5 wickets,Bulawayo,2007-12-07,2007
ODI # 2655,New Zealand,Australia,254/7,(42.3/50 ov) 255/3,Australia,7 wickets,Adelaide,2007-12-14,2007
ODI # 2657,Australia,New Zealand,282/6,"(34/50 ov, T:283) 168",Australia,114 runs,Hobart,2007-12-20,2007
ODI # 2658,Bangladesh,New Zealand,201,"(42.4/50 ov, T:202) 203/4",New Zealand,6 wickets,Auckland,2007-12-26,2007
ODI # 2659,New Zealand,Bangladesh,335/5,"(43/43 ov, T:284) 181/6",New Zealand,102 runs,Napier,2007-12-28,2007
ODI # 2660,Bangladesh,New Zealand,93,"(6/50 ov, T:94) 95/0",New Zealand,10 wickets,Queenstown,2007-12-31,2007
ODI # 2661,West Indies,South Africa,175,(34/36 ov) 176/4,South Africa,6 wickets,Centurion,2008-01-20,2008
ODI # 2662,Pakistan,Zimbabwe,347/5,"(50 ov, T:348) 243/7",Pakistan,104 runs,Karachi,2008-01-21,2008
ODI # 2663,Zimbabwe,Pakistan,238/8,(46.2/50 ov) 239/5,Pakistan,5 wickets,Hyderabad (Sind),2008-01-24,2008
ODI # 2664,South Africa,West Indies,255/9,"(48.2/50 ov, T:256) 169",South Africa,86 runs,Cape Town,2008-01-25,2008
ODI # 2665,Pakistan,Zimbabwe,272/9,"(50 ov, T:273) 235/7",Pakistan,37 runs,Multan,2008-01-27,2008
ODI # 2666,West Indies,South Africa,252/7,"(48.4/50 ov, T:253) 256/3",South Africa,7 wickets,Gqeberha,2008-01-27,2008
ODI # 2667,Zimbabwe,Pakistan,244,(47/50 ov) 245/3,Pakistan,7 wickets,Faisalabad,2008-01-30,2008
ODI # 2668,West Indies,South Africa,263/9,"(47.5/50 ov, T:264) 266/5",South Africa,5 wickets,Durban,2008-02-01,2008
ODI # 2669,Zimbabwe,Pakistan,181,"(31/50 ov, T:182) 187/3",Pakistan,7 wickets,Sheikhupura,2008-02-02,2008
