Scorecard,First_Innings_Team,Second_Innings_Team,First_Innings_Score,Second_Innings_Score,Winner,Margin,Ground,Match_Date,Match_Year
ODI # 118,England,West Indies,137,(39.3/50 ov) 138/4,West Indies,6 wickets,Albion,1981-02-26,1981
ODI # 119,Australia,England,210/7,"(51.4/55 ov, T:211) 212/4",England,6 wickets,Lord's,1981-06-04,1981
ODI # 120,Australia,England,249/8,"(54.5/55 ov, T:250) 247",Australia,2 runs,Birmingham,1981-06-06,1981
ODI # 121,Australia,England,236/8,"(46.5/55 ov, T:237) 165",Australia,71 runs,Leeds,1981-06-08,1981
ODI # 122,West Indies,Pakistan,245/8,"(50 ov, T:246) 227/6",West Indies,18 runs,Melbourne,1981-11-21,1981
ODI # 123,Australia,Pakistan,209/9,(49.2/50 ov) 210/6,Pakistan,4 wickets,Melbourne,1981-11-22,1981
ODI # 124,West Indies,Australia,236/8,(47/49 ov) 237/3,Australia,7 wickets,Sydney,1981-11-24,1981
ODI # 125,India,England,156/7,"(43.5/46 ov, T:157) 160/5",England,5 wickets,Ahmedabad,1981-11-25,1981
ODI # 126,Pakistan,West Indies,140,"(38.5/49 ov, T:141) 132",Pakistan,8 runs,Adelaide,1981-12-05,1981
ODI # 127,Australia,Pakistan,208,"(50 ov, T:209) 170/8",Australia,38 runs,Adelaide,1981-12-06,1981
ODI # 128,Australia,Pakistan,222/6,(43.2/50 ov) 223/4,Pakistan,6 wickets,Sydney,1981-12-17,1981
ODI # 129,Pakistan,West Indies,160,(42.2/50 ov) 161/3,West Indies,7 wickets,Perth,1981-12-19,1981
ODI # 130,Australia,West Indies,188/9,"(30/50 ov, T:189) 190/2",West Indies,8 wickets,Perth,1981-12-20,1981
ODI # 131,England,India,161/7,"(35.3/36 ov, T:162) 164/4",India,6 wickets,Jalandhar,1981-12-20,1981
ODI # 132,Pakistan,Australia,218/6,"(49/50 ov, T:219) 193",Pakistan,25 runs,Melbourne,1982-01-09,1982
ODI # 133,Australia,West Indies,146,(47.1/50 ov) 147/5,West Indies,5 wickets,Melbourne,1982-01-10,1982
ODI # 134,Pakistan,West Indies,191/7,(42.1/50 ov) 192/3,West Indies,7 wickets,Sydney,1982-01-12,1982
ODI # 135,Australia,Pakistan,230/5,"(40.3/50 ov, T:231) 154",Australia,76 runs,Sydney,1982-01-14,1982
ODI # 136,Pakistan,West Indies,177/9,(28.5/30 ov) 107/9,West Indies,1 wicket,Brisbane,1982-01-16,1982
ODI # 137,Australia,West Indies,185/9,(38.4/40 ov) 186/5,West Indies,5 wickets,Brisbane,1982-01-17,1982
ODI # 138,West Indies,Australia,189,"(43.1/43.1 ov, T:164) 168/7",Australia,5 runs,Sydney,1982-01-19,1982
ODI # 139,West Indies,Australia,216/8,"(37.4/49 ov, T:217) 130",West Indies,86 runs,Melbourne,1982-01-23,1982
ODI # 140,West Indies,Australia,235/9,"(32.2/50 ov, T:236) 107",West Indies,128 runs,Melbourne,1982-01-24,1982
ODI # 141,Australia,West Indies,214/8,"(42.5/50 ov, T:215) 168",Australia,46 runs,Sydney,1982-01-26,1982
ODI # 142,West Indies,Australia,234/6,"(50 ov, T:235) 216/9",West Indies,18 runs,Sydney,1982-01-27,1982
ODI # 143,England,India,230/6,(42/46 ov) 231/5,India,5 wickets,Cuttack,1982-01-27,1982
ODI # 144,New Zealand,Australia,240/6,"(44.5/50 ov, T:241) 194",New Zealand,46 runs,Auckland,1982-02-13,1982
ODI # 145,England,Sri Lanka,211,"(45 ov, T:212) 206/8",England,5 runs,Colombo (SSC),1982-02-13,1982
ODI # 146,Sri Lanka,England,215/7,"(44.5/45 ov, T:216) 212",Sri Lanka,3 runs,Colombo (SSC),1982-02-14,1982
ODI # 147,New Zealand,Australia,159/9,(45/49 ov) 160/4,Australia,6 wickets,Dunedin,1982-02-17,1982
ODI # 148,New Zealand,Australia,74,(20.3/50 ov) 75/2,Australia,8 wickets,Wellington,1982-02-20,1982
ODI # 149,Sri Lanka,Pakistan,171/3,"(29.2/33 ov, T:172) 174/2",Pakistan,8 wickets,Karachi,1982-03-12,1982
ODI # 150,Pakistan,Sri Lanka,239/4,"(33/33 ov, T:198) 227/4",Sri Lanka,30 runs,Lahore,1982-03-29,1982
ODI # 151,Sri Lanka,Pakistan,218,"(38.1/40 ov, T:219) 222/5",Pakistan,5 wickets,Karachi,1982-03-31,1982
ODI # 152,India,England,193,(50.1/55 ov) 194/1,England,9 wickets,Leeds,1982-06-02,1982
ODI # 153,England,India,276/9,"(55 ov, T:277) 162/8",England,114 runs,The Oval,1982-06-04,1982
ODI # 154,Pakistan,England,250/6,"(47.1/55 ov, T:251) 252/3",England,7 wickets,Nottingham,1982-07-17,1982
ODI # 155,England,Pakistan,295/8,"(49.4/55 ov, T:296) 222",England,73 runs,Manchester,1982-07-19,1982
ODI # 156,India,Sri Lanka,269/7,"(46/46 ov, T:270) 191/8",India,78 runs,Amritsar,1982-09-12,1982
ODI # 157,Sri Lanka,India,277/8,"(40.5/50 ov, T:278) 281/4",India,6 wickets,Delhi,1982-09-15,1982
ODI # 158,Pakistan,Australia,229/6,"(40 ov, T:230) 170/9",Pakistan,59 runs,Hyderabad (Sind),1982-09-20,1982
ODI # 159,Sri Lanka,India,233/8,(39.2/50 ov) 234/4,India,6 wickets,Bengaluru,1982-09-26,1982
ODI # 160,Pakistan,Australia,234/3,"(40 ov, T:235) 206/4",Pakistan,28 runs,Lahore,1982-10-08,1982
ODI # 162,Pakistan,India,224/4,"(40 ov, T:225) 210/6",Pakistan,14 runs,Gujranwala,1982-12-03,1982
ODI # 163,Pakistan,India,263/2,"(40 ov, T:264) 226/7",Pakistan,37 runs,Multan,1982-12-17,1982
ODI # 164,Pakistan,India,252/3,"(27/27 ov, T:176) 193/4",India,18 runs,Lahore,1982-12-31,1982
ODI # 165,New Zealand,Australia,181,(46.4/50 ov) 182/2,Australia,8 wickets,Melbourne,1983-01-09,1983
ODI # 166,Australia,England,180,"(41.1/50 ov, T:181) 149",Australia,31 runs,Sydney,1983-01-11,1983
ODI # 167,New Zealand,England,239/8,"(50 ov, T:240) 237/8",New Zealand,2 runs,Melbourne,1983-01-13,1983
ODI # 168,England,New Zealand,267/6,"(48.2/50 ov, T:268) 213",England,54 runs,Brisbane,1983-01-15,1983
ODI # 169,England,Australia,182,"(41/50 ov, T:183) 184/3",Australia,7 wickets,Brisbane,1983-01-16,1983
ODI # 170,New Zealand,Australia,226/8,"(45.3/50 ov, T:227) 179",New Zealand,47 runs,Sydney,1983-01-18,1983
ODI # 171,New Zealand,England,199,(42.4/50 ov) 200/2,England,8 wickets,Sydney,1983-01-20,1983
ODI # 172,India,Pakistan,197/6,(35/40 ov) 198/2,Pakistan,8 wickets,Karachi,1983-01-21,1983
ODI # 173,New Zealand,Australia,246/6,"(44.1/50 ov, T:247) 188",New Zealand,58 runs,Melbourne,1983-01-22,1983
ODI # 174,England,Australia,213/5,"(34.4/37 ov, T:214) 217/5",Australia,5 wickets,Melbourne,1983-01-23,1983
ODI # 175,England,Australia,207,"(27.3/41 ov, T:208) 109",England,98 runs,Sydney,1983-01-26,1983
ODI # 176,England,New Zealand,296/5,(48.5/50 ov) 297/6,New Zealand,4 wickets,Adelaide,1983-01-29,1983
ODI # 177,England,Australia,228/6,"(47/47 ov, T:229) 214/7",England,14 runs,Adelaide,1983-01-30,1983
ODI # 178,New Zealand,Australia,200/9,"(44/50 ov, T:201) 153",New Zealand,47 runs,Adelaide,1983-01-31,1983
ODI # 179,England,New Zealand,88/7,(20.3/23 ov) 89/3,New Zealand,7 wickets,Perth,1983-02-05,1983
ODI # 180,Australia,New Zealand,191/9,"(44.5/50 ov, T:192) 164",Australia,27 runs,Perth,1983-02-06,1983
ODI # 181,New Zealand,Australia,193/7,"(33.1/38 ov, T:150) 155/4",Australia,6 wickets,Sydney,1983-02-09,1983
ODI # 182,Australia,New Zealand,302/8,"(39.5/50 ov, T:303) 153",Australia,149 runs,Melbourne,1983-02-13,1983
